date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,4.07,4.1,4.08,4.05,141702.81,0.01,0.25,4.086,4.115,4.167,169500.58,226747.73,283043.31,0.18
2016-12-29,4.06,4.09,4.07,4.04,126119.61,0.0,0.0,4.092,4.117,4.182,180850.62,234351.67,319800.87,0.16
2016-12-28,4.09,4.1,4.07,4.05,181569.97,-0.03,-0.73,4.112,4.12,4.205,210369.97,251137.48,362333.78,0.23
2016-12-27,4.11,4.12,4.1,4.08,141150.8,-0.01,-0.24,4.142,4.12,4.223,276438.87,263450.25,392840.42,0.18
2016-12-26,4.1,4.11,4.11,4.02,256959.7,0.0,0.0,4.148,4.124,4.246,302794.21,273769.42,459532.96,0.32
2016-12-23,4.17,4.18,4.11,4.1,198453.02,-0.06,-1.44,4.144,4.126,4.268,283994.89,305929.05,504241.75,0.25
2016-12-22,4.2,4.2,4.17,4.14,273716.38,-0.05,-1.19,4.142,4.148,4.285,287852.73,315655.49,539647.36,0.35
2016-12-21,4.13,4.23,4.22,4.11,511914.47,0.09,2.18,4.128,4.164,4.301,291904.98,319192.4,577073.35,0.65
2016-12-20,4.09,4.15,4.13,4.09,272927.47,0.04,0.98,4.098,4.177,4.311,250461.63,297842.85,597483.12,0.34
2016-12-19,4.1,4.11,4.09,4.07,162963.09,-0.01,-0.24,4.1,4.195,4.332,244744.63,305598.81,629867.41,0.21
2016-12-16,4.09,4.11,4.1,4.07,217742.23,0.0,0.0,4.108,4.219,4.355,327863.22,339338.89,675470.39,0.27
2016-12-15,4.07,4.11,4.1,4.05,293977.62,0.03,0.74,4.154,4.247,4.378,343458.25,405250.08,766256.64,0.37
2016-12-14,4.11,4.16,4.07,4.07,304697.75,-0.07,-1.69,4.2,4.289,4.412,346479.83,473530.08,895890.83,0.38
2016-12-13,4.1,4.16,4.14,4.08,244342.45,0.01,0.24,4.256,4.326,4.434,345224.07,522230.59,988245.58,0.31
2016-12-12,4.3,4.32,4.13,4.05,578556.06,-0.2,-4.62,4.29,4.368,4.446,366453.0,645296.51,1036081.38,0.73
2016-12-09,4.33,4.34,4.33,4.28,295717.38,0.0,0.0,4.33,4.41,4.456,350814.55,702554.45,1085197.11,0.37
2016-12-08,4.36,4.4,4.33,4.31,309085.5,-0.02,-0.46,4.34,4.422,4.453,467041.9,763639.24,1151832.19,0.39
2016-12-07,4.31,4.36,4.35,4.28,298418.94,0.05,1.16,4.378,4.437,4.445,600580.34,834954.3,1189889.14,0.38
2016-12-06,4.35,4.4,4.31,4.29,350487.12,-0.03,-0.69,4.396,4.445,4.431,699237.11,897123.39,1196714.01,0.44
2016-12-05,4.29,4.4,4.33,4.26,500363.81,-0.05,-1.14,4.446,4.469,4.421,924140.01,954136.01,1195796.59,0.63
2016-12-02,4.48,4.55,4.38,4.37,876854.12,-0.13,-2.88,4.49,4.491,4.409,1054294.35,1011601.9,1179576.16,1.11
2016-12-01,4.43,4.57,4.52,4.42,976777.69,0.07,1.57,4.504,4.508,4.394,1060236.57,1127263.21,1147075.6,1.23
2016-11-30,4.51,4.56,4.44,4.4,791702.81,-0.12,-2.63,4.496,4.534,4.374,1069328.26,1318251.57,1119967.5,1.0
2016-11-29,4.5,4.64,4.56,4.44,1475001.62,0.02,0.44,4.494,4.542,4.355,1095009.67,1454260.56,1099837.29,1.86
2016-11-28,4.46,4.57,4.55,4.42,1151135.5,0.1,2.25,4.492,4.523,4.333,984132.0,1426866.25,1042840.02,1.45
2016-11-25,4.45,4.47,4.45,4.34,906565.25,-0.03,-0.67,4.492,4.501,4.311,968909.45,1467839.78,1002255.66,1.14
2016-11-24,4.44,4.52,4.48,4.39,1022236.12,0.05,1.13,4.512,4.483,4.296,1194289.85,1540025.15,977095.37,1.29
2016-11-23,4.53,4.55,4.43,4.42,920109.88,-0.12,-2.64,4.572,4.453,4.284,1567174.88,1544823.99,964011.99,1.16
2016-11-22,4.51,4.58,4.55,4.49,920613.25,0.01,0.22,4.59,4.417,4.273,1813511.45,1496304.63,941888.6,1.16
2016-11-21,4.53,4.63,4.55,4.49,1075022.75,-0.01,-0.22,4.554,4.372,4.258,1869600.5,1437457.18,923754.98,1.36
2016-11-18,4.6,4.64,4.55,4.48,2033467.25,-0.24,-5.01,4.51,4.326,4.245,1966770.1,1347550.43,940889.44,2.56
2016-11-17,4.92,4.92,4.78,4.64,2886661.25,0.25,5.52,4.454,4.28,4.227,1885760.45,1166887.98,885174.97,3.64
2016-11-16,4.81,4.81,4.52,4.49,2151792.75,0.15,3.43,4.334,4.213,4.195,1522473.1,921683.43,761952.6,2.71
2016-11-15,4.42,4.53,4.37,4.35,1201058.5,0.03,0.69,4.244,4.167,4.178,1179097.8,745414.03,701183.44,1.51
2016-11-14,4.26,4.55,4.33,4.23,1560870.75,0.07,1.64,4.19,4.142,4.167,1005313.86,658813.78,678127.54,1.97
2016-11-11,4.17,4.32,4.27,4.15,1628419.0,0.1,2.4,4.142,4.121,4.154,728330.75,536671.55,619191.92,2.05
2016-11-10,4.09,4.28,4.18,4.09,1070224.5,0.12,2.96,4.106,4.109,4.146,448015.51,414165.6,567383.75,1.35
2016-11-09,4.09,4.13,4.07,4.03,434916.25,-0.03,-0.73,4.092,4.115,4.145,320893.76,383200.0,562466.18,0.55
2016-11-08,4.11,4.13,4.1,4.08,332138.81,0.0,0.0,4.09,4.128,4.144,311730.25,387472.58,576909.47,0.42
2016-11-07,4.08,4.11,4.09,4.08,175955.2,0.01,0.24,4.094,4.144,4.138,312313.7,410052.77,568435.08,0.22
2016-11-04,4.11,4.13,4.09,4.07,226842.77,-0.02,-0.49,4.1,4.164,4.132,345012.35,534228.45,574793.32,0.29
2016-11-03,4.05,4.14,4.11,4.04,434615.78,0.05,1.23,4.112,4.174,4.13,380315.69,603461.96,582434.51,0.55
2016-11-02,4.11,4.12,4.06,4.05,389098.69,-0.06,-1.46,4.138,4.176,4.125,445506.24,602221.78,570441.28,0.49
2016-11-01,4.11,4.15,4.12,4.1,335056.06,0.0,0.0,4.166,4.188,4.123,463214.91,656952.86,559155.01,0.42
2016-10-31,4.15,4.16,4.12,4.08,339448.47,-0.03,-0.72,4.194,4.192,4.116,507791.84,697441.3,547609.82,0.43
2016-10-28,4.21,4.23,4.15,4.14,403359.47,-0.09,-2.12,4.228,4.186,4.11,723444.55,701712.28,536899.51,0.51
2016-10-27,4.19,4.31,4.24,4.13,760568.5,0.04,0.95,4.236,4.182,4.101,826608.23,720601.9,532286.39,0.96
2016-10-26,4.22,4.25,4.2,4.19,477642.03,-0.05,-1.18,4.214,4.175,4.09,758937.31,741732.37,504341.32,0.6
2016-10-25,4.27,4.29,4.26,4.22,557940.75,-0.03,-0.7,4.21,4.16,4.081,850690.81,766346.36,502629.21,0.7
2016-10-24,4.22,4.35,4.29,4.18,1417712.0,0.09,2.14,4.19,4.132,4.074,887090.76,726817.39,520102.94,1.79
2016-10-21,4.13,4.25,4.19,4.11,919177.88,0.07,1.7,4.144,4.1,4.064,679980.01,615358.2,464535.4,1.16
2016-10-20,4.16,4.17,4.13,4.11,422213.91,-0.05,-1.2,4.128,4.086,4.058,614595.58,561407.05,436728.76,0.53
2016-10-19,4.16,4.3,4.18,4.14,936409.5,0.02,0.48,4.136,4.073,4.055,724527.42,538660.79,425651.98,1.18
2016-10-18,4.05,4.2,4.16,4.05,739940.5,0.09,2.21,4.11,4.057,4.048,682001.92,461357.17,386477.54,0.93
2016-10-17,4.11,4.16,4.06,4.05,382158.28,-0.06,-1.46,4.074,4.039,4.042,566544.03,397778.34,359413.73,0.48
2016-10-14,4.15,4.15,4.11,4.07,592255.69,-0.07,-1.68,4.056,4.033,4.041,550736.38,372086.74,354597.31,0.75
2016-10-13,4.01,4.3,4.17,4.01,971873.12,0.12,2.96,4.044,4.019,4.038,508218.53,343970.88,332972.64,1.23
2016-10-12,4.0,4.16,4.05,4.0,723782.0,0.07,1.76,4.01,4.004,4.032,352794.16,266950.27,294603.91,0.91
2016-09-27,3.96,3.98,3.98,3.95,162651.05,0.01,0.25,4.004,4.001,4.034,240712.43,238912.06,272556.59,0.21
2016-09-26,4.02,4.04,3.97,3.96,303120.03,-0.08,-1.98,4.004,4.016,4.037,229012.64,313388.49,275735.05,0.38
2016-09-23,4.01,4.05,4.05,3.99,379666.44,0.04,1.0,4.01,4.028,4.042,193437.11,313712.6,274953.66,0.48
