date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,3.88,3.91,3.91,3.87,580519.31,0.02,0.51,3.892,3.902,3.988,463486.6,630006.62,1015791.34,0.15
2016-12-29,3.87,3.91,3.89,3.86,435397.47,0.01,0.26,3.888,3.906,3.996,465913.23,677796.7,1055653.03,0.11
2016-12-28,3.88,3.89,3.88,3.86,337967.97,0.0,0.0,3.89,3.915,4.007,481945.05,821810.82,1075039.54,0.08
2016-12-27,3.9,3.91,3.88,3.87,393129.19,-0.02,-0.51,3.9,3.942,4.017,649442.93,916636.57,1131939.96,0.1
2016-12-26,3.86,3.91,3.9,3.85,570419.06,0.01,0.26,3.904,3.967,4.031,792080.32,982525.71,1180498.04,0.14
2016-12-23,3.9,3.9,3.89,3.86,592652.44,-0.01,-0.26,3.912,3.995,4.044,796526.64,1162544.26,1237335.35,0.15
2016-12-22,3.92,3.93,3.9,3.89,515556.59,-0.03,-0.76,3.924,4.025,4.056,889680.18,1391445.46,1303934.0,0.13
2016-12-21,3.89,3.96,3.93,3.88,1175457.38,0.03,0.77,3.94,4.04,4.065,1161676.59,1436083.15,1339389.85,0.3
2016-12-20,3.94,3.94,3.9,3.85,1106316.12,-0.04,-1.01,3.984,4.049,4.071,1183830.21,1389129.51,1397448.65,0.28
2016-12-19,3.94,3.97,3.94,3.92,592650.69,-0.01,-0.25,4.03,4.062,4.075,1172971.11,1336354.04,1435608.19,0.15
2016-12-16,3.99,4.0,3.95,3.93,1058420.12,-0.03,-0.75,4.078,4.074,4.073,1528561.87,1401576.06,1466627.64,0.27
2016-12-15,4.13,4.13,3.98,3.97,1875538.62,-0.17,-4.1,4.126,4.086,4.069,1893210.75,1433509.36,1448778.95,0.47
2016-12-14,4.12,4.23,4.15,4.11,1286225.5,0.02,0.48,4.14,4.098,4.064,1710489.71,1328268.26,1393063.95,0.32
2016-12-13,4.14,4.17,4.13,4.09,1052020.62,-0.05,-1.2,4.114,4.091,4.051,1594428.8,1347243.35,1360292.26,0.26
2016-12-12,4.23,4.29,4.18,4.12,2370604.5,-0.01,-0.24,4.094,4.095,4.04,1499736.98,1378470.36,1334954.73,0.6
2016-12-09,4.05,4.23,4.19,4.03,2881664.5,0.14,3.46,4.07,4.092,4.027,1274590.25,1312126.44,1267953.73,0.72
2016-12-08,4.03,4.08,4.05,4.0,961933.44,0.03,0.75,4.046,4.087,4.013,973807.98,1216422.54,1186881.33,0.24
2016-12-07,4.03,4.05,4.02,3.99,705920.94,-0.01,-0.25,4.056,4.089,4.006,946046.81,1242696.54,1177033.29,0.18
2016-12-06,4.06,4.07,4.03,4.03,578561.5,-0.03,-0.74,4.068,4.092,3.998,1100057.9,1405767.8,1184684.35,0.15
2016-12-05,4.05,4.08,4.06,4.0,1244870.88,-0.02,-0.49,4.096,4.087,3.99,1257203.75,1534862.34,1196980.98,0.31
2016-12-02,4.12,4.13,4.07,4.03,1377753.12,-0.04,-0.97,4.114,4.071,3.981,1349662.62,1531679.23,1163343.64,0.35
2016-12-01,4.09,4.14,4.1,4.08,823127.62,0.01,0.24,4.128,4.051,3.97,1459037.1,1464048.54,1133522.22,0.21
2016-11-30,4.15,4.19,4.08,4.07,1475976.38,-0.08,-1.92,4.122,4.03,3.956,1539346.28,1457859.63,1122463.86,0.37
2016-11-29,4.13,4.17,4.17,4.08,1364290.75,0.02,0.48,4.116,4.011,3.943,1711477.7,1373341.17,1079309.16,0.34
2016-11-28,4.16,4.24,4.15,4.14,1707165.25,0.01,0.24,4.078,3.985,3.928,1812520.93,1291439.09,1077143.47,0.43
2016-11-25,4.08,4.15,4.14,4.07,1924625.5,0.07,1.72,4.028,3.962,3.911,1713695.83,1223781.02,1008510.55,0.48
2016-11-24,4.03,4.1,4.07,4.0,1224673.5,0.03,0.74,3.974,3.939,3.895,1469059.98,1157340.11,948638.27,0.31
2016-11-23,3.97,4.14,4.05,3.96,2336633.5,0.07,1.76,3.938,3.922,3.882,1376372.99,1111370.04,920564.76,0.59
2016-11-22,3.9,3.99,3.98,3.89,1869506.88,0.07,1.79,3.906,3.903,3.87,1035204.64,963600.9,831582.68,0.47
2016-11-21,3.85,3.93,3.9,3.85,1213039.75,0.04,1.04,3.892,3.893,3.865,770357.26,859099.63,768995.26,0.3
2016-11-18,3.88,3.88,3.87,3.85,701446.25,-0.02,-0.51,3.896,3.89,3.864,733866.22,795008.06,783496.63,0.18
2016-11-17,3.89,3.89,3.89,3.86,761238.56,0.0,0.0,3.904,3.888,3.861,845620.25,802995.89,772090.17,0.19
2016-11-16,3.91,3.92,3.89,3.88,630791.75,-0.02,-0.51,3.906,3.882,3.856,846367.09,787068.08,754299.99,0.16
2016-11-15,3.93,3.93,3.91,3.89,545270.0,-0.02,-0.51,3.9,3.875,3.852,891997.16,785277.14,749173.45,0.14
2016-11-14,3.9,3.96,3.92,3.9,1030584.56,0.01,0.26,3.894,3.87,3.846,947842.0,862847.84,749456.92,0.26
2016-11-11,3.89,3.93,3.91,3.88,1260216.38,0.01,0.26,3.884,3.859,3.837,856149.9,793240.07,719656.55,0.32
2016-11-10,3.88,3.92,3.9,3.87,764972.75,0.04,1.04,3.872,3.851,3.83,760371.54,739936.43,677010.74,0.19
2016-11-09,3.88,3.89,3.86,3.82,858942.12,-0.02,-0.52,3.858,3.841,3.823,727769.07,729759.48,656497.53,0.22
2016-11-08,3.88,3.9,3.88,3.86,824494.19,0.01,0.26,3.85,3.837,3.819,678557.13,699564.46,637911.62,0.21
2016-11-07,3.85,3.88,3.87,3.83,572124.06,0.02,0.52,3.846,3.836,3.816,777853.69,678890.88,629870.73,0.14
2016-11-04,3.84,3.89,3.85,3.83,781324.56,0.01,0.26,3.834,3.837,3.813,730330.23,771985.19,631327.53,0.2
2016-11-03,3.82,3.86,3.83,3.8,601960.44,0.01,0.26,3.83,3.834,3.81,719501.33,741184.45,611292.81,0.15
2016-11-02,3.86,3.86,3.82,3.81,612882.38,-0.05,-1.29,3.824,3.83,3.807,731749.88,721531.89,604400.46,0.15
2016-11-01,3.82,3.87,3.86,3.8,1320977.0,0.05,1.31,3.824,3.828,3.804,720571.79,713069.76,591518.32,0.33
2016-10-31,3.81,3.82,3.81,3.79,334506.78,-0.01,-0.26,3.826,3.821,3.799,579928.08,636066.0,548358.73,0.08
2016-10-28,3.82,3.87,3.83,3.8,727180.06,0.03,0.79,3.84,3.814,3.794,813640.15,646073.03,562675.91,0.18
2016-10-27,3.83,3.83,3.8,3.79,663203.19,-0.02,-0.52,3.838,3.808,3.792,762867.58,614085.04,546440.88,0.17
2016-10-26,3.87,3.88,3.82,3.82,556991.94,-0.05,-1.29,3.836,3.805,3.792,711313.9,583235.58,544614.57,0.14
2016-10-25,3.88,3.91,3.87,3.86,617758.44,-0.01,-0.26,3.832,3.801,3.789,705567.72,576258.78,535635.7,0.16
2016-10-24,3.81,3.93,3.88,3.8,1503067.12,0.06,1.57,3.816,3.795,3.784,692203.92,580850.57,522520.66,0.38
2016-10-21,3.8,3.82,3.82,3.79,473317.19,0.02,0.53,3.788,3.789,3.778,478505.9,490669.87,468890.23,0.12
2016-10-20,3.82,3.82,3.79,3.78,405434.81,-0.01,-0.26,3.778,3.786,3.774,465302.51,481401.17,470190.63,0.1
2016-10-19,3.78,3.83,3.8,3.78,528261.06,0.02,0.53,3.774,3.784,3.773,455157.26,487269.02,476903.24,0.13
2016-10-18,3.74,3.79,3.79,3.74,550939.44,0.05,1.34,3.77,3.779,3.771,446949.84,469966.88,509305.49,0.14
2016-10-17,3.77,3.78,3.74,3.73,434577.0,-0.03,-0.8,3.774,3.776,3.774,469497.21,460651.46,511914.27,0.11
