date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,4.94,4.96,4.94,4.9,281391.66,0.0,0.0,4.988,5.002,5.155,204733.22,248522.53,274028.73,0.6
2016-12-29,4.97,4.98,4.94,4.91,257429.27,-0.04,-0.8,5.012,5.013,5.187,189787.61,252514.37,288735.42,0.55
2016-12-28,5.04,5.04,4.98,4.95,167257.94,-0.04,-0.8,5.034,5.026,5.225,174845.84,259616.19,306553.82,0.35
2016-12-27,5.06,5.09,5.02,5.01,149584.09,-0.04,-0.79,5.054,5.036,5.258,224365.1,280165.11,319662.1,0.32
2016-12-26,5.04,5.09,5.06,4.96,168003.16,0.0,0.0,5.042,5.052,5.294,233667.51,299935.53,351954.32,0.36
2016-12-23,5.05,5.09,5.06,5.03,206663.61,0.01,0.2,5.016,5.069,5.328,292311.84,340357.05,377939.28,0.44
2016-12-22,5.08,5.09,5.05,5.02,182720.38,-0.03,-0.59,5.014,5.11,5.357,315241.13,339774.79,391799.25,0.39
2016-12-21,4.96,5.12,5.08,4.96,414854.25,0.12,2.42,5.018,5.154,5.382,344386.55,336239.44,403698.09,0.88
2016-12-20,4.91,4.96,4.96,4.9,196096.14,0.03,0.61,5.018,5.197,5.405,335965.12,308932.32,410333.53,0.42
2016-12-19,5.06,5.06,4.93,4.92,461224.84,-0.12,-2.38,5.062,5.247,5.441,366203.54,310913.6,421665.6,0.98
2016-12-16,5.08,5.11,5.05,5.03,321310.03,-0.02,-0.39,5.122,5.308,5.477,388402.26,299534.93,422234.48,0.68
2016-12-15,5.06,5.1,5.07,5.02,328447.5,-0.01,-0.2,5.206,5.361,5.506,364308.46,324956.47,449003.8,0.7
2016-12-14,5.18,5.19,5.08,5.05,372747.09,-0.1,-1.93,5.29,5.424,5.547,328092.32,353491.44,503897.16,0.79
2016-12-13,5.2,5.23,5.18,5.11,347288.25,-0.05,-0.96,5.376,5.479,5.582,281899.52,359159.09,521722.16,0.74
2016-12-12,5.46,5.47,5.23,5.19,572218.44,-0.24,-4.39,5.432,5.536,5.607,255623.67,403973.12,552317.98,1.21
2016-12-09,5.48,5.52,5.47,5.44,200841.02,-0.02,-0.36,5.494,5.586,5.631,210667.6,415521.5,584004.4,0.43
2016-12-08,5.52,5.54,5.49,5.47,147366.8,-0.02,-0.36,5.516,5.603,5.636,285604.48,443823.7,616508.14,0.31
2016-12-07,5.47,5.52,5.51,5.44,141783.09,0.05,0.92,5.558,5.609,5.634,378890.56,471156.75,644343.98,0.3
2016-12-06,5.52,5.56,5.46,5.45,215908.98,-0.08,-1.44,5.582,5.612,5.624,436418.66,511734.74,655986.18,0.46
2016-12-05,5.48,5.59,5.54,5.43,347438.09,-0.03,-0.54,5.64,5.634,5.618,552322.57,532417.6,659983.43,0.74
2016-12-02,5.7,5.78,5.58,5.55,575525.44,-0.12,-2.1,5.678,5.645,5.607,620375.4,544934.02,652839.35,1.22
