date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,5.4,5.44,5.43,5.36,201163.16,0.04,0.74,5.414,5.417,5.458,189683.41,290381.25,299057.28,0.15
2016-12-29,5.38,5.42,5.39,5.36,143422.59,-0.01,-0.18,5.416,5.412,5.471,240297.14,288355.29,325955.06,0.11
2016-12-28,5.39,5.43,5.4,5.37,162228.12,0.0,0.0,5.436,5.411,5.488,316050.09,294164.07,342761.12,0.12
2016-12-27,5.44,5.45,5.4,5.39,215479.25,-0.05,-0.92,5.448,5.408,5.503,369082.66,304097.68,364533.41,0.16
2016-12-26,5.4,5.46,5.45,5.36,226123.91,0.01,0.18,5.44,5.412,5.521,362674.44,306845.59,415474.86,0.17
2016-12-23,5.52,5.53,5.44,5.38,454231.84,-0.05,-0.91,5.42,5.414,5.532,391079.09,347692.45,463106.16,0.33
2016-12-22,5.45,5.55,5.49,5.45,522187.34,0.03,0.55,5.408,5.426,5.539,336413.43,324173.14,458051.33,0.38
2016-12-21,5.38,5.49,5.46,5.37,427390.94,0.1,1.87,5.386,5.432,5.541,272278.05,298268.44,449208.44,0.31
2016-12-20,5.33,5.38,5.36,5.33,183438.16,0.01,0.19,5.368,5.446,5.546,239112.7,286954.4,452624.24,0.13
2016-12-19,5.38,5.39,5.35,5.3,368147.16,-0.03,-0.56,5.384,5.468,5.558,251016.74,294745.56,473299.82,0.27
2016-12-16,5.37,5.4,5.38,5.35,180903.55,0.0,0.0,5.408,5.499,5.571,304305.8,307733.31,487366.41,0.61
2016-12-15,5.37,5.42,5.38,5.35,201510.44,0.01,0.19,5.444,5.53,5.576,311932.85,363554.83,498981.41,0.67
2016-12-14,5.43,5.44,5.37,5.35,261564.19,-0.07,-1.29,5.478,5.564,5.586,324258.82,391358.17,510913.03,0.88
2016-12-13,5.42,5.46,5.44,5.37,242958.34,-0.03,-0.55,5.524,5.597,5.596,334796.11,424969.14,536865.04,0.81
2016-12-12,5.57,5.6,5.47,5.37,634592.5,-0.09,-1.62,5.552,5.63,5.597,338474.38,524104.13,540588.52,2.12
2016-12-09,5.53,5.59,5.56,5.53,219038.8,0.01,0.18,5.59,5.65,5.597,311160.82,578519.88,531715.93,0.73
2016-12-08,5.58,5.61,5.55,5.54,263140.28,-0.05,-0.89,5.616,5.651,5.59,415176.8,591929.52,540972.82,0.88
2016-12-07,5.59,5.6,5.6,5.53,314250.62,0.02,0.36,5.65,5.65,5.583,458457.53,600148.44,548444.18,1.05
