date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,25.19,25.98,25.49,25.16,96007.46,0.28,1.11,25.32,25.272,27.015,140149.15,134781.33,157190.05,2.91
2016-12-29,25.25,25.8,25.21,25.01,83316.28,-0.25,-0.98,25.0,25.34,27.642,153257.09,140768.01,180179.15,2.52
2016-12-28,26.01,26.26,25.46,25.31,144309.78,-0.55,-2.12,24.976,25.393,28.258,160721.81,147732.63,204249.82,4.37
2016-12-27,24.43,26.28,26.01,24.31,232094.11,1.58,6.47,25.048,25.377,28.743,154499.83,152831.46,215593.05,7.03
2016-12-26,23.85,24.6,24.43,23.42,145018.11,0.54,2.26,25.022,25.44,29.177,132105.31,148923.14,215848.65,4.39
2016-12-23,24.71,24.86,23.89,23.8,161547.19,-1.2,-4.78,25.224,25.632,29.683,129413.51,159834.47,223579.75,4.9
2016-12-22,25.69,25.8,25.09,24.99,120639.85,-0.73,-2.83,25.68,26.167,30.144,128278.93,168037.86,223554.76,3.66
2016-12-21,26.02,26.12,25.82,25.5,113199.91,-0.06,-0.23,25.81,26.758,30.572,134743.46,178084.67,226889.08,3.43
2016-12-20,25.58,26.0,25.88,25.2,120121.49,0.44,1.73,25.706,27.386,30.95,151163.08,200222.03,232863.61,3.64
2016-12-19,26.27,26.33,25.44,25.3,131559.12,-0.73,-2.79,25.858,27.879,31.335,165740.97,191066.38,241573.94,3.99
2016-12-16,25.8,26.49,26.17,25.33,155874.3,0.43,1.67,26.04,28.758,31.817,190255.42,179598.77,251249.06,4.72
2016-12-15,25.15,26.15,25.74,25.05,152962.48,0.44,1.74,26.654,29.943,32.288,207796.79,219590.28,265423.58,4.64
2016-12-14,26.0,26.5,25.3,24.89,195298.02,-1.34,-5.03,27.706,31.122,32.726,221425.88,260767.0,279073.79,5.92
2016-12-13,26.46,27.3,26.64,25.28,193010.95,0.29,1.1,29.066,32.108,33.271,249280.98,278354.65,293736.02,5.85
2016-12-12,29.39,29.5,26.35,26.32,254131.34,-2.89,-9.88,29.9,32.914,33.618,216391.79,282774.15,300084.49,7.7
2016-12-09,30.5,30.55,29.24,29.0,243581.16,-1.76,-5.68,31.476,33.733,33.958,168942.12,287325.03,308036.41,7.38
2016-12-08,32.68,32.71,31.0,30.6,221107.91,-1.1,-3.43,33.232,34.121,34.088,231383.76,279071.66,308083.69,6.7
2016-12-07,29.31,33.78,32.1,29.31,334573.53,1.29,4.19,34.538,34.386,34.152,300108.12,275693.49,314115.81,10.14
2016-12-06,30.81,30.81,30.81,30.81,28565.0,-3.42,-9.99,35.15,34.513,34.161,307428.32,265505.19,317021.97,0.87
2016-12-05,34.23,34.23,34.23,34.23,16883.0,-3.8,-9.99,35.928,34.791,34.335,349156.51,292081.51,338580.73,0.51
2016-11-04,36.98,39.86,38.02,36.61,555789.38,0.48,1.28,35.99,34.875,34.187,405707.93,322899.35,355005.34,16.84
2016-11-03,34.8,38.28,37.53,34.43,564729.69,2.36,6.71,35.01,34.632,33.708,326759.55,311256.88,335659.38,17.11
2016-11-02,34.69,36.3,35.16,33.82,371174.53,0.47,1.35,34.234,34.329,33.251,251278.86,297380.58,320753.72,11.25
2016-11-01,34.22,34.8,34.7,33.81,237205.94,0.16,0.46,33.876,34.434,32.956,223582.05,309117.38,319741.86,7.19
2016-10-31,33.08,34.71,34.54,33.04,299640.12,1.41,4.26,33.654,34.322,32.671,235006.51,317394.84,328683.18,9.08
2016-10-28,33.12,33.56,33.12,32.79,161047.48,-0.5,-1.49,33.76,34.183,32.467,240090.77,328747.8,333217.7,4.88
2016-10-27,33.37,33.68,33.65,32.5,187326.22,0.28,0.84,34.254,34.054,32.393,295754.21,337095.73,358058.04,5.68
2016-10-26,33.47,34.49,33.37,32.8,232690.5,-0.22,-0.66,34.424,33.918,32.284,343482.31,352538.12,375655.89,7.05
2016-10-25,35.04,35.06,33.59,33.52,294328.22,-1.47,-4.19,34.992,33.809,32.047,394652.71,368538.75,390000.33,8.92
2016-10-24,35.94,35.94,35.07,34.34,325061.41,-0.52,-1.46,34.99,33.88,31.67,399783.16,385079.96,389396.93,9.85
2016-10-21,34.5,36.36,35.59,33.48,439364.72,1.03,2.98,34.606,33.498,31.101,417404.83,387111.33,384690.46,13.31
2016-10-20,35.9,36.79,34.5,34.0,425966.69,-1.64,-4.54,33.854,32.783,30.444,378437.25,360061.87,377220.48,12.91
2016-10-19,33.27,36.77,36.21,33.25,488542.53,2.6,7.74,33.412,32.173,29.825,361593.93,344126.85,357422.47,14.8
2016-10-18,33.13,34.5,33.58,32.42,319980.47,0.46,1.39,32.626,31.477,29.108,342424.78,330366.34,336144.65,9.7
2016-10-17,31.91,34.54,33.15,31.9,413169.72,1.34,4.21,32.77,31.019,28.552,370376.75,339971.53,322399.08,12.52
2016-10-14,31.72,31.88,31.83,31.01,244526.83,-0.46,-1.43,32.39,30.751,28.033,356817.83,337687.6,306161.06,7.41
2016-10-13,32.53,33.7,32.29,31.8,341750.12,0.07,0.22,31.712,30.732,27.595,341686.49,379020.35,299454.3,10.36
2016-10-12,33.9,33.9,32.28,31.88,392696.78,-2.06,-6.0,30.934,30.65,27.083,326659.77,398773.66,286271.79,11.9
2016-10-11,31.8,34.38,34.3,31.49,459740.31,3.05,9.76,30.328,30.285,26.577,318307.89,411461.91,270244.28,13.93
2016-10-10,28.65,31.25,31.25,28.65,345375.12,2.84,10.0,29.268,29.46,25.983,309566.31,393713.89,251319.99,10.47
2016-09-30,28.2,28.7,28.44,28.01,168870.12,0.04,0.14,29.112,28.703,25.545,318557.36,382269.59,237671.8,5.12
2016-09-29,28.77,29.74,28.4,28.15,266616.5,-0.84,-2.87,29.752,28.105,25.246,416354.2,394379.09,233879.95,8.08
