date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,5.04,5.07,5.06,5.02,149729.61,0.03,0.6,5.056,5.074,5.093,170372.5,255910.29,280708.13,0.12
2016-12-29,5.01,5.05,5.03,5.0,145496.19,0.0,0.0,5.054,5.072,5.101,195128.16,262891.51,298921.24,0.11
2016-12-28,5.07,5.07,5.03,5.0,208189.0,-0.04,-0.79,5.07,5.07,5.115,231563.96,269442.24,307850.59,0.16
2016-12-27,5.08,5.08,5.07,5.05,143160.34,-0.02,-0.39,5.1,5.068,5.128,302017.25,277453.58,316985.57,0.11
2016-12-26,5.04,5.11,5.09,5.01,205287.36,0.04,0.79,5.1,5.067,5.142,348763.95,284793.27,344775.85,0.16
2016-12-23,5.1,5.11,5.05,5.04,273507.91,-0.06,-1.17,5.092,5.066,5.155,341448.08,322703.23,364387.25,0.21
2016-12-22,5.15,5.16,5.11,5.08,327675.19,-0.07,-1.35,5.09,5.078,5.167,330654.85,318002.26,373105.28,0.26
2016-12-21,5.08,5.19,5.18,5.05,560455.44,0.11,2.17,5.07,5.085,5.176,307320.53,315213.47,374757.02,0.44
2016-12-20,5.07,5.11,5.07,5.04,376893.84,0.02,0.4,5.036,5.085,5.18,252889.91,288683.61,369474.06,0.29
2016-12-19,5.05,5.07,5.05,5.02,168708.02,0.01,0.2,5.034,5.095,5.193,220822.59,279693.63,370713.55,0.13
2016-12-16,5.01,5.05,5.04,5.0,219541.78,0.03,0.6,5.04,5.112,5.206,303958.38,305505.97,383724.56,0.17
2016-12-15,4.99,5.04,5.01,4.98,211003.55,0.0,0.0,5.066,5.129,5.219,305349.66,334950.97,407226.51,0.16
2016-12-14,5.06,5.06,5.01,4.99,288302.38,-0.05,-0.99,5.1,5.159,5.241,323106.42,346258.94,443545.52,0.23
2016-12-13,5.05,5.08,5.06,5.02,216557.2,-0.02,-0.39,5.134,5.187,5.266,324477.3,356517.55,496419.6,0.17
2016-12-12,5.18,5.18,5.08,5.03,584387.0,-0.09,-1.74,5.156,5.217,5.283,338564.68,404758.44,555979.28,0.46
2016-12-09,5.17,5.2,5.17,5.15,226498.19,-0.01,-0.19,5.184,5.244,5.297,307053.56,406071.26,605148.36,0.18
2016-12-08,5.19,5.23,5.18,5.17,299787.31,0.0,0.0,5.192,5.256,5.299,364552.28,428208.3,648542.96,0.23
2016-12-07,5.18,5.2,5.18,5.14,295156.78,0.0,0.0,5.218,5.266,5.296,369411.46,434300.57,677025.62,0.23
2016-12-06,5.21,5.23,5.17,5.17,286994.12,-0.04,-0.77,5.24,5.274,5.292,388557.81,450264.51,704717.24,0.22
2016-12-05,5.2,5.26,5.22,5.17,426831.38,0.0,0.0,5.278,5.29,5.287,470952.19,461733.47,699550.6,0.33
2016-12-02,5.3,5.31,5.21,5.19,513991.81,-0.1,-1.88,5.304,5.3,5.279,505088.97,461943.15,685234.46,0.4
2016-12-01,5.27,5.32,5.31,5.27,324083.19,0.03,0.57,5.32,5.309,5.272,491864.31,479502.04,667741.67,0.25
2016-11-30,5.36,5.36,5.29,5.25,390888.53,-0.08,-1.49,5.314,5.323,5.26,499189.69,540832.1,661754.57,0.31
2016-11-29,5.34,5.39,5.36,5.29,698966.06,0.01,0.19,5.308,5.344,5.248,511971.21,636321.65,654033.1,0.55
2016-11-28,5.3,5.38,5.35,5.27,597515.25,0.05,0.94,5.302,5.349,5.234,452514.74,707200.13,636096.91,0.47
2016-11-25,5.28,5.3,5.29,5.19,447868.53,0.01,0.19,5.296,5.35,5.222,418797.33,804225.46,636612.0,0.35
2016-11-24,5.26,5.32,5.28,5.25,360710.06,0.02,0.38,5.298,5.342,5.219,467139.77,868877.63,644526.68,0.28
2016-11-23,5.32,5.34,5.26,5.25,454796.16,-0.06,-1.13,5.332,5.326,5.213,582474.52,919750.67,635238.68,0.36
