date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,34.94,35.89,35.75,34.94,71035.97,0.75,2.14,35.448,35.484,35.192,43489.5,40403.17,42178.97,0.88
2016-12-29,35.1,35.35,35.0,34.92,28746.25,-0.29,-0.82,35.322,35.409,35.149,33545.19,38107.04,40867.73,0.36
2016-12-28,35.36,35.52,35.29,35.25,21291.24,-0.16,-0.45,35.458,35.312,35.174,34908.42,38307.9,41652.8,0.26
2016-12-27,35.61,36.1,35.45,35.3,49272.56,-0.3,-0.84,35.514,35.202,35.189,36860.53,39172.08,42653.47,0.61
2016-12-26,35.12,35.9,35.75,34.96,47101.48,0.63,1.79,35.548,35.087,35.214,34428.62,38672.12,45363.08,0.58
2016-12-23,35.68,35.68,35.12,35.11,21314.43,-0.56,-1.57,35.52,34.938,35.213,37316.83,42264.84,48639.92,0.26
2016-12-22,35.6,35.76,35.68,35.21,35562.38,0.11,0.31,35.496,34.969,35.206,42668.89,44993.75,50633.59,0.44
2016-12-21,35.69,35.82,35.57,35.36,31051.8,-0.05,-0.14,35.166,34.979,35.176,41707.38,47371.8,51990.44,0.39
2016-12-20,35.59,35.63,35.62,35.02,37113.03,0.01,0.03,34.89,34.982,35.165,41483.63,47707.73,54131.8,0.46
2016-12-19,35.0,35.85,35.61,34.81,61542.53,0.61,1.74,34.626,34.955,35.143,42915.61,46565.05,56555.29,0.76
2016-12-16,34.0,35.06,35.0,33.91,48074.72,0.97,2.85,34.356,34.899,35.131,47212.84,43954.78,55940.74,0.6
2016-12-15,34.06,34.38,34.03,33.88,30754.8,-0.16,-0.47,34.442,34.888,35.154,47318.6,43628.41,55689.62,0.38
2016-12-14,34.2,34.44,34.19,34.02,29933.05,-0.11,-0.32,34.792,35.035,35.23,53036.23,44997.71,56195.1,0.37
2016-12-13,34.02,34.42,34.3,33.95,44272.96,0.04,0.12,35.074,35.176,35.307,53931.82,46134.86,57205.62,0.55
2016-12-12,35.43,35.45,34.26,33.88,83028.67,-1.17,-3.3,35.284,35.341,35.384,50214.48,52054.05,57092.69,1.03
2016-12-09,35.78,36.11,35.43,35.4,48603.52,-0.35,-0.98,35.442,35.488,35.453,40696.71,55015.01,56328.38,0.6
2016-12-08,35.75,36.12,35.78,35.55,59342.95,0.18,0.51,35.334,35.443,35.48,39938.22,56273.43,56396.41,0.74
2016-12-07,35.35,35.73,35.6,35.16,34411.02,0.25,0.71,35.278,35.373,35.516,36959.19,56609.08,56004.38,0.43
2016-12-06,35.05,35.47,35.35,35.02,25686.25,0.3,0.86,35.278,35.348,35.532,38337.9,60555.88,56168.34,0.32
2016-12-05,34.7,35.47,35.05,34.6,35439.82,0.16,0.46,35.398,35.33,35.564,53893.61,66545.54,58274.71,0.44
2016-12-02,35.36,35.49,34.89,34.85,44811.08,-0.61,-1.72,35.534,35.363,35.58,69333.3,67926.71,61524.55,0.56
2016-12-01,35.88,35.88,35.5,35.33,44447.77,-0.1,-0.28,35.552,35.419,35.645,72608.63,67750.84,61189.03,0.55
