date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,32.59,33.2,33.0,32.33,92878.22,0.7,2.17,32.466,32.853,33.212,61880.34,72753.9,88575.79,0.66
2016-12-29,32.2,32.48,32.3,31.96,43063.18,0.02,0.06,32.344,32.851,33.242,66765.42,69613.78,88246.13,0.31
2016-12-28,32.44,32.58,32.28,32.02,55038.9,-0.11,-0.34,32.542,32.923,33.32,70197.94,74317.2,94501.81,0.39
2016-12-27,32.4,32.65,32.39,32.2,52658.7,0.03,0.09,32.792,33.051,33.42,73032.37,76907.14,98186.45,0.38
2016-12-26,32.29,32.51,32.36,31.77,65762.68,-0.03,-0.09,32.992,33.2,33.543,74817.15,82524.38,108517.11,0.47
2016-12-23,33.27,33.39,32.39,32.28,117303.63,-0.9,-2.7,33.24,33.264,33.614,83627.47,93505.46,110805.99,0.84
2016-12-22,33.55,33.75,33.29,33.18,60225.77,-0.24,-0.72,33.358,33.457,33.677,72462.14,91352.89,109443.43,0.43
2016-12-21,33.42,33.9,33.53,33.36,69211.05,0.14,0.42,33.304,33.542,33.699,78436.47,104268.62,114798.83,0.49
2016-12-20,33.4,33.68,33.39,33.28,61582.64,-0.21,-0.62,33.31,33.55,33.725,80781.92,106057.11,120213.36,0.44
2016-12-19,33.0,34.1,33.6,33.0,109814.26,0.62,1.88,33.408,33.591,33.726,90231.61,107282.81,121305.72,0.78
2016-12-16,33.0,33.28,32.98,32.82,61476.96,-0.04,-0.12,33.288,33.57,33.711,103383.45,104397.68,119772.4,0.44
2016-12-15,33.58,33.87,33.02,32.89,90097.45,-0.54,-1.61,33.556,33.632,33.726,110243.64,106878.49,119416.44,0.64
2016-12-14,33.77,34.01,33.56,33.41,80938.28,-0.32,-0.94,33.78,33.716,33.744,130100.78,114686.42,118665.08,0.58
2016-12-13,33.06,33.99,33.88,33.06,108831.08,0.88,2.67,33.79,33.789,33.751,131332.3,119465.76,118938.68,0.78
2016-12-12,34.76,35.24,33.0,32.78,175573.48,-1.32,-3.85,33.774,33.886,33.767,124334.01,134509.84,118128.69,1.25
2016-12-09,34.2,34.79,34.32,34.12,95777.92,0.18,0.53,33.852,33.964,33.803,105411.91,128106.52,116375.91,0.68
2016-12-08,33.6,34.84,34.14,33.54,189383.12,0.53,1.58,33.708,33.897,33.812,103513.33,127533.98,116479.32,1.35
2016-12-07,33.9,34.14,33.61,33.34,87095.92,-0.19,-0.56,33.652,33.856,33.855,99272.06,125329.03,110830.28,0.62
2016-12-06,33.32,33.95,33.8,33.32,73839.6,0.41,1.23,33.788,33.9,33.913,107599.21,134369.6,111400.89,0.53
2016-12-05,33.35,34.23,33.39,33.01,80962.97,-0.21,-0.62,33.998,33.86,33.946,144685.67,135328.63,112586.97,0.58
2016-12-02,33.89,34.05,33.6,33.46,86285.04,-0.26,-0.77,34.076,33.851,33.972,150801.14,135147.12,112657.05,0.62
2016-12-01,34.35,34.79,33.86,33.7,168176.77,-0.43,-1.25,34.086,33.82,33.998,151554.62,131954.38,112274.07,1.2
2016-11-30,34.81,35.06,34.29,34.16,128731.67,-0.56,-1.61,34.06,33.771,34.05,151386.01,122643.75,106996.85,0.92
2016-11-29,33.77,35.46,34.85,33.63,259271.88,1.07,3.17,34.012,33.712,34.066,161140.0,118411.59,104734.9,1.85
2016-11-28,33.97,34.35,33.78,33.63,111540.33,0.13,0.39,33.722,33.647,34.054,125971.6,101747.54,96960.34,0.8
2016-11-25,33.75,34.09,33.65,33.4,90052.45,-0.08,-0.24,33.626,33.641,34.108,119493.09,104645.31,97889.35,0.64
2016-11-24,34.13,34.17,33.73,33.4,167333.7,-0.32,-0.94,33.554,33.726,34.155,112354.15,105424.66,105932.06,1.19
2016-11-23,33.5,34.05,34.05,33.34,177501.64,0.65,1.95,33.482,33.853,34.133,93901.49,96331.53,108197.69,1.27
2016-11-22,33.35,33.66,33.4,33.16,83429.89,0.1,0.3,33.412,33.925,34.014,75683.19,88432.17,103693.53,0.6
2016-11-21,33.44,33.75,33.3,33.2,79147.78,0.01,0.03,33.572,34.032,33.928,77523.48,89845.3,102663.75,0.56
2016-11-18,33.39,33.62,33.29,33.2,54357.73,-0.08,-0.24,33.656,34.092,33.846,89797.52,90166.99,103893.97,0.39
2016-11-17,33.67,33.89,33.37,33.2,75070.39,-0.33,-0.98,33.898,34.176,33.78,98495.16,92593.75,105334.77,0.54
2016-11-16,34.16,34.36,33.7,33.46,86410.14,-0.5,-1.46,34.224,34.329,33.698,98761.58,91349.96,106607.49,0.62
2016-11-15,33.7,34.3,34.2,33.49,92631.36,0.48,1.42,34.438,34.419,33.573,101181.16,91058.2,104508.86,0.66
2016-11-14,34.25,34.47,33.72,33.5,140517.98,-0.78,-2.26,34.492,34.46,33.431,102167.12,92173.13,102317.84,1.0
2016-11-11,34.89,34.89,34.5,34.09,97845.95,-0.5,-1.43,34.528,34.574,33.312,90536.46,91133.39,98931.8,0.7
2016-11-10,35.01,35.19,35.0,34.75,76402.45,0.23,0.66,34.454,34.583,33.177,86692.34,106439.45,97480.48,0.55
2016-11-09,34.54,34.97,34.77,33.8,98508.06,0.3,0.87,34.434,34.412,33.016,83938.34,120063.84,97303.36,0.7
2016-11-08,34.15,34.95,34.47,33.94,97561.14,0.57,1.68,34.4,34.103,32.869,80935.24,118954.89,98249.66,0.7
2016-11-07,33.99,34.24,33.9,33.61,82364.72,-0.23,-0.67,34.428,33.824,32.699,82179.14,115482.2,100832.7,0.59
2016-11-04,34.7,35.0,34.13,33.72,78625.35,-0.77,-2.21,34.62,33.6,32.52,91730.32,117620.95,98527.01,0.56
