date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,7.02,7.1,6.95,6.95,171554.98,-0.09,-1.28,7.042,7.093,7.158,148797.22,153872.38,230634.7,0.28
2016-12-29,7.06,7.08,7.04,6.98,165259.94,-0.02,-0.28,7.074,7.105,7.198,144451.64,153526.6,269434.34,0.27
2016-12-28,7.09,7.11,7.06,7.05,118772.81,-0.03,-0.42,7.106,7.109,7.239,145781.48,154803.55,317270.4,0.19
2016-12-27,7.06,7.13,7.09,7.05,143810.67,0.02,0.28,7.124,7.112,7.258,154845.29,160420.88,333046.82,0.23
2016-12-26,7.09,7.1,7.07,6.89,144587.69,-0.04,-0.56,7.13,7.115,7.28,155305.03,163802.3,351493.45,0.24
2016-12-23,7.19,7.21,7.11,7.09,149827.11,-0.09,-1.25,7.144,7.114,7.306,158947.55,197552.98,377381.55,0.24
2016-12-22,7.13,7.24,7.2,7.11,171909.12,0.05,0.7,7.136,7.137,7.325,162601.55,209337.86,401253.06,0.28
2016-12-21,7.15,7.16,7.15,7.1,164091.84,0.03,0.42,7.112,7.145,7.339,163825.62,220317.63,449586.61,0.27
2016-12-20,7.14,7.16,7.12,7.08,146109.38,-0.02,-0.28,7.1,7.168,7.345,165996.48,242617.67,492300.42,0.24
2016-12-19,7.04,7.14,7.14,7.02,162800.3,0.07,0.99,7.1,7.192,7.344,172299.56,260097.11,504711.01,0.27
2016-12-16,7.08,7.12,7.07,7.01,168097.12,-0.01,-0.14,7.084,7.223,7.34,236158.42,307397.02,512384.68,0.27
2016-12-15,7.07,7.12,7.08,7.0,178029.48,-0.01,-0.14,7.138,7.29,7.338,256074.17,385342.08,522788.25,0.29
2016-12-14,7.12,7.15,7.09,7.06,174946.12,-0.03,-0.42,7.178,7.368,7.336,276809.63,479737.24,526328.77,0.29
2016-12-13,7.05,7.14,7.12,7.05,177624.8,0.06,0.85,7.236,7.404,7.333,319238.86,505672.75,528389.93,0.29
2016-12-12,7.34,7.36,7.06,7.05,482094.56,-0.28,-3.81,7.284,7.444,7.329,347894.65,539184.6,533521.78,0.79
2016-12-09,7.29,7.42,7.34,7.25,267675.88,0.06,0.82,7.362,7.498,7.326,378635.61,557210.13,527022.92,0.44
2016-12-08,7.39,7.4,7.28,7.28,281706.81,-0.1,-1.35,7.442,7.512,7.308,514609.99,593168.26,539192.29,0.46
2016-12-07,7.34,7.41,7.38,7.3,387092.25,0.02,0.27,7.558,7.532,7.292,682664.85,678855.6,535716.64,0.63
2016-12-06,7.42,7.46,7.36,7.28,320903.75,-0.09,-1.21,7.572,7.521,7.266,692106.64,741983.17,528766.14,0.52
2016-12-05,7.6,7.73,7.45,7.36,635799.38,-0.29,-3.75,7.604,7.496,7.246,730474.55,749324.9,519519.66,1.04
2016-12-02,7.79,8.17,7.74,7.66,947547.75,-0.12,-1.53,7.634,7.456,7.22,735784.64,717372.35,492438.47,1.55
2016-12-01,7.46,7.94,7.86,7.39,1121981.12,0.41,5.5,7.582,7.385,7.179,671726.52,660234.42,450085.21,1.83
2016-11-30,7.53,7.64,7.45,7.3,434301.19,-0.07,-0.93,7.506,7.304,7.133,675046.35,572920.31,402049.88,0.71
2016-11-29,7.5,7.73,7.52,7.5,512743.31,-0.08,-1.05,7.47,7.261,7.104,791859.7,551107.11,386008.21,0.84
2016-11-28,7.52,7.66,7.6,7.48,662349.81,0.12,1.6,7.388,7.213,7.076,768175.26,527858.96,370046.8,1.08
2016-11-25,7.45,7.67,7.48,7.4,627257.19,0.0,0.0,7.278,7.153,7.047,698960.06,496835.71,342952.58,1.02
2016-11-24,7.23,7.63,7.48,7.22,1138580.25,0.21,2.89,7.188,7.104,7.026,648742.31,485216.33,321877.99,1.86
2016-11-23,7.13,7.48,7.27,7.1,1018367.94,0.16,2.25,7.102,7.051,7.006,470794.26,392577.67,279825.18,1.66
2016-11-22,7.09,7.14,7.11,7.06,394321.09,0.06,0.85,7.052,7.011,6.994,310354.51,315549.12,243444.12,0.64
