win,lose,probability
Orlando Magic,Minnesota Timberwolves,0.6065277964226665
Detroit Pistons,Phoenix Suns,0.747962932899734
San Antonio Spurs,Houston Rockets,0.8723148458565431
Boston Celtics,Washington Wizards,0.5487025707826616
Golden State Warriors,Denver Nuggets,0.8913542347248251
Miami Heat,Chicago Bulls,0.6965852275137131
Milwaukee Bucks,New Orleans Pelicans,0.5552599580964775
Sacramento Kings,Los Angeles Lakers,0.7539369204967254
Boston Celtics,New York Knicks,0.8017677903760735
Toronto Raptors,Charlotte Hornets,0.5072488915462284
Oklahoma City Thunder,Los Angeles Clippers,0.7105566688539173
Utah Jazz,Orlando Magic,0.5618751116663945
Indiana Pacers,Philadelphia 76ers,0.8952381801730869
Portland Trail Blazers,Sacramento Kings,0.7407520681433609
San Antonio Spurs,Detroit Pistons,0.8711679459523901
Cleveland Cavaliers,Washington Wizards,0.7274096229795403
Atlanta Hawks,Philadelphia 76ers,0.9350413997102206
Chicago Bulls,Washington Wizards,0.5403410674151322
Detroit Pistons,Denver Nuggets,0.6094194322983995
San Antonio Spurs,Houston Rockets,0.7574370496915317
Indiana Pacers,Boston Celtics,0.5324499070078716
Miami Heat,Utah Jazz,0.6675910809862415
Memphis Grizzlies,Milwaukee Bucks,0.5348281135853856
Los Angeles Clippers,Minnesota Timberwolves,0.7401669026362252
New Orleans Pelicans,Los Angeles Lakers,0.7037552484031419
Phoenix Suns,Brooklyn Nets,0.5794406625975611
Toronto Raptors,New York Knicks,0.8633618864810727
Cleveland Cavaliers,Charlotte Hornets,0.7779826613341686
Golden State Warriors,Phoenix Suns,0.9654386125429121
Minnesota Timberwolves,Los Angeles Lakers,0.7351350872300437
Oklahoma City Thunder,Orlando Magic,0.8712978147738306
Portland Trail Blazers,Denver Nuggets,0.7565070323856049
Oklahoma City Thunder,Detroit Pistons,0.6781501588534413
Houston Rockets,Philadelphia 76ers,0.9002582097995063
Indiana Pacers,Orlando Magic,0.7225691103227423
Los Angeles Clippers,Brooklyn Nets,0.9125312146532204
Boston Celtics,New Orleans Pelicans,0.7340543690178966
Dallas Mavericks,New York Knicks,0.6200299104130765
San Antonio Spurs,Miami Heat,0.8282853741996111
Utah Jazz,Memphis Grizzlies,0.6642789189525494
Cleveland Cavaliers,Toronto Raptors,0.7047214485179025
Brooklyn Nets,Los Angeles Lakers,0.5184653601094374
Miami Heat,Atlanta Hawks,0.579774570024485
Charlotte Hornets,Minnesota Timberwolves,0.6973800280429041
Portland Trail Blazers,Chicago Bulls,0.6543297060089887
Atlanta Hawks,Milwaukee Bucks,0.8144611619439812
Boston Celtics,Dallas Mavericks,0.6809517905265338
Denver Nuggets,Phoenix Suns,0.6709045630949738
Cleveland Cavaliers,Indiana Pacers,0.6583854053634046
Los Angeles Clippers,Memphis Grizzlies,0.796795180722696
Detroit Pistons,New York Knicks,0.6365005660695711
Oklahoma City Thunder,Houston Rockets,0.8126047058908804
Orlando Magic,New Orleans Pelicans,0.6289965677212247
Washington Wizards,Philadelphia 76ers,0.8683677452937091
San Antonio Spurs,Sacramento Kings,0.8555954618826033
Golden State Warriors,Toronto Raptors,0.6285594263941683
Portland Trail Blazers,Houston Rockets,0.6056239627346596
Miami Heat,Milwaukee Bucks,0.8090900505412046
Minnesota Timberwolves,Philadelphia 76ers,0.8116413320639743
Utah Jazz,Chicago Bulls,0.5989268594080767
Washington Wizards,New York Knicks,0.7080383799791539
Golden State Warriors,Boston Celtics,0.7255497813404932
Charlotte Hornets,Atlanta Hawks,0.5843830188027004
Cleveland Cavaliers,Detroit Pistons,0.8321082049438525
Dallas Mavericks,Memphis Grizzlies,0.6491347504448264
Toronto Raptors,Denver Nuggets,0.7641614836345526
Indiana Pacers,Phoenix Suns,0.8400602969796436
San Antonio Spurs,Los Angeles Lakers,0.9464476906116842
Portland Trail Blazers,New Orleans Pelicans,0.7898348761879126
Oklahoma City Thunder,Brooklyn Nets,0.946089997373463
Los Angeles Clippers,Sacramento Kings,0.7207026741359064
Boston Celtics,Detroit Pistons,0.5191503106335331
Houston Rockets,Utah Jazz,0.5660419429356109
Los Angeles Clippers,Chicago Bulls,0.7474309944082708
Memphis Grizzlies,Minnesota Timberwolves,0.6202657488397426
Golden State Warriors,Milwaukee Bucks,0.9028248007421147
Charlotte Hornets,New Orleans Pelicans,0.7291752910967805
Dallas Mavericks,Orlando Magic,0.5480353628587524
Phoenix Suns,Philadelphia 76ers,0.6929368382644326
Miami Heat,Washington Wizards,0.5403342614122187
Portland Trail Blazers,Brooklyn Nets,0.8824845382343589
Utah Jazz,Denver Nuggets,0.6059643637003027
Chicago Bulls,Los Angeles Lakers,0.7914813555579157
Atlanta Hawks,New York Knicks,0.7152818249070132
Oklahoma City Thunder,Indiana Pacers,0.7828585917547151
Toronto Raptors,Sacramento Kings,0.7539945686294149
Charlotte Hornets,Memphis Grizzlies,0.7561081606762972
Detroit Pistons,Houston Rockets,0.5757039042886389
Golden State Warriors,Indiana Pacers,0.7610148600135435
Los Angeles Clippers,Toronto Raptors,0.5513003525035075
Orlando Magic,Milwaukee Bucks,0.5283496277391211
Boston Celtics,Minnesota Timberwolves,0.7025982904766578
Miami Heat,Philadelphia 76ers,0.9096063831048048
San Antonio Spurs,Dallas Mavericks,0.8788790349954282
Washington Wizards,Phoenix Suns,0.7913801146915731
Atlanta Hawks,New Orleans Pelicans,0.8189358202077621
Chicago Bulls,Denver Nuggets,0.573611238780533
Oklahoma City Thunder,Los Angeles Lakers,0.9256930178885994
Portland Trail Blazers,New York Knicks,0.7756318236544817
