Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Apr 9 2014,7:00 pm,Philadelphia 76ers,114,Toronto Raptors,125,Box Score,,
Wed Apr 9 2014,7:00 pm,Charlotte Bobcats,94,Washington Wizards,88,Box Score,OT,
Thu Apr 10 2014,8:00 pm,San Antonio Spurs,109,Dallas Mavericks,100,Box Score,,
Thu Apr 10 2014,10:30 pm,Denver Nuggets,100,Golden State Warriors,99,Box Score,,
Fri Apr 11 2014,7:30 pm,Charlotte Bobcats,103,Boston Celtics,106,Box Score,,
Fri Apr 11 2014,7:30 pm,Atlanta Hawks,93,Brooklyn Nets,88,Box Score,,
Fri Apr 11 2014,8:00 pm,Detroit Pistons,98,Chicago Bulls,106,Box Score,,
Fri Apr 11 2014,10:30 pm,Golden State Warriors,112,Los Angeles Lakers,95,Box Score,,
Fri Apr 11 2014,8:00 pm,Philadelphia 76ers,95,Memphis Grizzlies,117,Box Score,,
Fri Apr 11 2014,7:30 pm,Indiana Pacers,86,Miami Heat,98,Box Score,,
Fri Apr 11 2014,8:30 pm,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,
Fri Apr 11 2014,8:00 pm,Houston Rockets,110,Minnesota Timberwolves,112,Box Score,,
Fri Apr 11 2014,8:00 pm,New Orleans Pelicans,94,Oklahoma City Thunder,116,Box Score,,
Fri Apr 11 2014,7:00 pm,Washington Wizards,96,Orlando Magic,86,Box Score,,
Fri Apr 11 2014,8:30 pm,Phoenix Suns,104,San Antonio Spurs,112,Box Score,,
Fri Apr 11 2014,7:00 pm,New York Knicks,108,Toronto Raptors,100,Box Score,,
Fri Apr 11 2014,9:00 pm,Portland Trail Blazers,111,Utah Jazz,99,Box Score,,
Sat Apr 12 2014,7:30 pm,Miami Heat,85,Atlanta Hawks,98,Box Score,,
Sat Apr 12 2014,7:00 pm,Philadelphia 76ers,105,Charlotte Bobcats,111,Box Score,,
Sat Apr 12 2014,7:30 pm,Boston Celtics,111,Cleveland Cavaliers,99,Box Score,,
Sat Apr 12 2014,8:30 pm,Phoenix Suns,98,Dallas Mavericks,101,Box Score,,
Sat Apr 12 2014,9:00 pm,Utah Jazz,94,Denver Nuggets,101,Box Score,,
Sat Apr 12 2014,8:00 pm,New Orleans Pelicans,104,Houston Rockets,111,Box Score,,
