Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu Jun 5 2014,9:00 pm,Miami Heat,95,San Antonio Spurs,110,Box Score,,
Sun Jun 8 2014,8:00 pm,Miami Heat,98,San Antonio Spurs,96,Box Score,,
Tue Jun 10 2014,9:00 pm,San Antonio Spurs,111,Miami Heat,92,Box Score,,
Thu Jun 12 2014,9:00 pm,San Antonio Spurs,107,Miami Heat,86,Box Score,,
Sun Jun 15 2014,8:00 pm,Miami Heat,87,San Antonio Spurs,104,Box Score,,
