Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Jan 10 2014,7:30 pm,Houston Rockets,80,Atlanta Hawks,83,Box Score,,
Fri Jan 10 2014,8:00 pm,Miami Heat,95,Brooklyn Nets,104,Box Score,2OT,
Fri Jan 10 2014,10:30 pm,Boston Celtics,97,Golden State Warriors,99,Box Score,,
Fri Jan 10 2014,7:00 pm,Washington Wizards,66,Indiana Pacers,93,Box Score,,
Fri Jan 10 2014,10:30 pm,Los Angeles Lakers,87,Los Angeles Clippers,123,Box Score,,
Fri Jan 10 2014,8:00 pm,Phoenix Suns,99,Memphis Grizzlies,104,Box Score,,
Fri Jan 10 2014,8:30 pm,Chicago Bulls,81,Milwaukee Bucks,72,Box Score,,
Fri Jan 10 2014,8:00 pm,Charlotte Bobcats,92,Minnesota Timberwolves,119,Box Score,,
Fri Jan 10 2014,8:00 pm,Dallas Mavericks,107,New Orleans Pelicans,90,Box Score,,
Fri Jan 10 2014,7:00 pm,Detroit Pistons,114,Philadelphia 76ers,104,Box Score,,
Fri Jan 10 2014,10:00 pm,Orlando Magic,83,Sacramento Kings,103,Box Score,,
Fri Jan 10 2014,9:00 pm,Cleveland Cavaliers,113,Utah Jazz,102,Box Score,,
Sat Jan 11 2014,8:00 pm,Charlotte Bobcats,97,Chicago Bulls,103,Box Score,,
Sat Jan 11 2014,8:30 pm,New Orleans Pelicans,107,Dallas Mavericks,110,Box Score,,
Sat Jan 11 2014,9:00 pm,Orlando Magic,94,Denver Nuggets,120,Box Score,,
Sat Jan 11 2014,7:30 pm,Phoenix Suns,108,Detroit Pistons,110,Box Score,,
Sat Jan 11 2014,8:00 pm,Milwaukee Bucks,85,Oklahoma City Thunder,101,Box Score,,
Sat Jan 11 2014,7:30 pm,New York Knicks,102,Philadelphia 76ers,92,Box Score,,
Sat Jan 11 2014,10:00 pm,Boston Celtics,104,Portland Trail Blazers,112,Box Score,,
Sat Jan 11 2014,7:00 pm,Brooklyn Nets,80,Toronto Raptors,96,Box Score,,
Sat Jan 11 2014,7:00 pm,Houston Rockets,114,Washington Wizards,107,Box Score,,
Sun Jan 12 2014,6:00 pm,Atlanta Hawks,101,Memphis Grizzlies,108,Box Score,,
Sun Jan 12 2014,6:00 pm,Cleveland Cavaliers,80,Sacramento Kings,124,Box Score,,
Sun Jan 12 2014,7:00 pm,Minnesota Timberwolves,86,San Antonio Spurs,104,Box Score,,
Mon Jan 13 2014,7:30 pm,Houston Rockets,104,Boston Celtics,92,Box Score,,
Mon Jan 13 2014,8:00 pm,Washington Wizards,102,Chicago Bulls,88,Box Score,,
Mon Jan 13 2014,8:30 pm,Orlando Magic,88,Dallas Mavericks,107,Box Score,,
Mon Jan 13 2014,8:00 pm,San Antonio Spurs,101,New Orleans Pelicans,95,Box Score,,
Mon Jan 13 2014,7:30 pm,Phoenix Suns,96,New York Knicks,98,Box Score,OT,
Mon Jan 13 2014,7:00 pm,Milwaukee Bucks,94,Toronto Raptors,116,Box Score,,
Mon Jan 13 2014,9:00 pm,Denver Nuggets,103,Utah Jazz,118,Box Score,,
Tue Jan 14 2014,7:00 pm,New York Knicks,98,Charlotte Bobcats,108,Box Score,,
Tue Jan 14 2014,7:00 pm,Sacramento Kings,92,Indiana Pacers,116,Box Score,,
Tue Jan 14 2014,10:30 pm,Cleveland Cavaliers,120,Los Angeles Lakers,118,Box Score,,
Tue Jan 14 2014,8:00 pm,Oklahoma City Thunder,87,Memphis Grizzlies,90,Box Score,,
Wed Jan 15 2014,7:30 pm,Toronto Raptors,83,Boston Celtics,88,Box Score,,
Wed Jan 15 2014,10:30 pm,Denver Nuggets,123,Golden State Warriors,116,Box Score,,
Wed Jan 15 2014,10:30 pm,Dallas Mavericks,127,Los Angeles Clippers,129,Box Score,,
Wed Jan 15 2014,8:00 pm,Memphis Grizzlies,82,Milwaukee Bucks,77,Box Score,,
Wed Jan 15 2014,8:00 pm,Sacramento Kings,111,Minnesota Timberwolves,108,Box Score,,
Wed Jan 15 2014,8:00 pm,Houston Rockets,103,New Orleans Pelicans,100,Box Score,,
Wed Jan 15 2014,7:00 pm,Chicago Bulls,128,Orlando Magic,125,Box Score,3OT,
Wed Jan 15 2014,7:00 pm,Charlotte Bobcats,92,Philadelphia 76ers,95,Box Score,,
Wed Jan 15 2014,9:00 pm,Los Angeles Lakers,114,Phoenix Suns,121,Box Score,,
Wed Jan 15 2014,10:00 pm,Cleveland Cavaliers,96,Portland Trail Blazers,108,Box Score,,
Wed Jan 15 2014,8:00 pm,Utah Jazz,105,San Antonio Spurs,109,Box Score,,
Wed Jan 15 2014,7:00 pm,Miami Heat,97,Washington Wizards,114,Box Score,,
Thu Jan 16 2014,3:00 pm,Brooklyn Nets,127,Atlanta Hawks,110,Box Score,,at London England
