Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Dec 10 2013,8:00 pm,Milwaukee Bucks,78,Chicago Bulls,74,Box Score,,
Tue Dec 10 2013,7:00 pm,New York Knicks,94,Cleveland Cavaliers,109,Box Score,,
Tue Dec 10 2013,7:30 pm,Minnesota Timberwolves,121,Detroit Pistons,94,Box Score,,
Tue Dec 10 2013,7:00 pm,Miami Heat,84,Indiana Pacers,90,Box Score,,
Tue Dec 10 2013,10:30 pm,Phoenix Suns,114,Los Angeles Lakers,108,Box Score,,
Tue Dec 10 2013,7:00 pm,San Antonio Spurs,116,Toronto Raptors,103,Box Score,,
Wed Dec 11 2013,7:30 pm,Los Angeles Clippers,96,Boston Celtics,88,Box Score,,
Wed Dec 11 2013,7:00 pm,Orlando Magic,92,Charlotte Bobcats,83,Box Score,,
Wed Dec 11 2013,10:30 pm,Dallas Mavericks,93,Golden State Warriors,95,Box Score,,
Wed Dec 11 2013,8:00 pm,Oklahoma City Thunder,116,Memphis Grizzlies,100,Box Score,,
Wed Dec 11 2013,8:00 pm,San Antonio Spurs,109,Milwaukee Bucks,77,Box Score,,
Wed Dec 11 2013,8:00 pm,Philadelphia 76ers,99,Minnesota Timberwolves,106,Box Score,,
Wed Dec 11 2013,8:00 pm,Detroit Pistons,106,New Orleans Pelicans,111,Box Score,OT,
Wed Dec 11 2013,8:00 pm,Chicago Bulls,78,New York Knicks,83,Box Score,,
Wed Dec 11 2013,10:00 pm,Utah Jazz,122,Sacramento Kings,101,Box Score,,
Thu Dec 12 2013,8:00 pm,Los Angeles Clippers,93,Brooklyn Nets,102,Box Score,,
Thu Dec 12 2013,10:30 pm,Houston Rockets,104,Portland Trail Blazers,111,Box Score,,
Fri Dec 13 2013,7:30 pm,Washington Wizards,99,Atlanta Hawks,101,Box Score,OT,
Fri Dec 13 2013,7:30 pm,New York Knicks,86,Boston Celtics,90,Box Score,,
Fri Dec 13 2013,9:00 pm,Utah Jazz,103,Denver Nuggets,93,Box Score,,
Fri Dec 13 2013,7:30 pm,Brooklyn Nets,99,Detroit Pistons,103,Box Score,,
Fri Dec 13 2013,10:30 pm,Houston Rockets,116,Golden State Warriors,112,Box Score,,
Fri Dec 13 2013,7:00 pm,Charlotte Bobcats,94,Indiana Pacers,99,Box Score,,
Fri Dec 13 2013,8:30 pm,Chicago Bulls,91,Milwaukee Bucks,90,Box Score,,
Fri Dec 13 2013,8:00 pm,Memphis Grizzlies,98,New Orleans Pelicans,104,Box Score,,
Fri Dec 13 2013,8:00 pm,Los Angeles Lakers,97,Oklahoma City Thunder,122,Box Score,,
Fri Dec 13 2013,7:00 pm,Cleveland Cavaliers,109,Orlando Magic,100,Box Score,,
Fri Dec 13 2013,9:00 pm,Sacramento Kings,107,Phoenix Suns,116,Box Score,,
Fri Dec 13 2013,8:30 pm,Minnesota Timberwolves,110,San Antonio Spurs,117,Box Score,,
Fri Dec 13 2013,7:00 pm,Philadelphia 76ers,100,Toronto Raptors,108,Box Score,,
Sat Dec 14 2013,7:00 pm,Los Angeles Lakers,88,Charlotte Bobcats,85,Box Score,,
Sat Dec 14 2013,8:00 pm,Toronto Raptors,99,Chicago Bulls,77,Box Score,,
Sat Dec 14 2013,8:30 pm,Milwaukee Bucks,93,Dallas Mavericks,106,Box Score,,
Sat Dec 14 2013,7:30 pm,Cleveland Cavaliers,107,Miami Heat,114,Box Score,,
Sat Dec 14 2013,7:30 pm,Atlanta Hawks,106,New York Knicks,111,Box Score,,
Sat Dec 14 2013,8:00 pm,Portland Trail Blazers,139,Philadelphia 76ers,105,Box Score,,
Sat Dec 14 2013,9:00 pm,San Antonio Spurs,100,Utah Jazz,84,Box Score,,
